"Symbol","Name","IPOyear","Sector","Industry"
"MELI","MercadoLibre, Inc.","1997","Miscellaneous","Business Services"
"MBWM","Mercantile Bank Corporation","1998","Finance","Major Banks"
"MERC","Mercer International Inc.","n/a","Basic Industries","Paper"
"MBVT","Merchants Bancshares, Inc.","n/a","Finance","Major Banks"
"MRCY","Mercury Systems Inc","1985","Capital Goods","Electrical Products"
"MRGE","Merge Healthcare Incorporated.","1998","Technology","EDP Services"
"VIVO","Meridian Bioscience Inc.","1986","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"EBSB","Meridian Interstate Bancorp, Inc.","n/a","Finance","Banks"
"MMSI","Merit Medical Systems, Inc.","n/a","Health Care","Medical/Dental Instruments"
"MACK","Merrimack Pharmaceuticals, Inc.","1983","Health Care","Major Pharmaceuticals"
"MERU","Meru Networks, Inc.","2010","Technology","Computer Communications Equipment"
"MSLI","Merus Labs International Inc.","n/a","Health Care","Major Pharmaceuticals"
"MLAB","Mesa Laboratories, Inc.","1972","Capital Goods","Industrial Machinery/Components"
"CASH","Meta Financial Group, Inc.","1993","Finance","Savings Institutions"
"MBLX","Metabolix, Inc.","2006","Basic Industries","Containers/Packaging"
"MEOH","Methanex Corporation","n/a","Basic Industries","Major Chemicals"
"MEIL","METHES ENERGIES INTERNATIONAL LTD","n/a","Basic Industries","Major Chemicals"
"MEILW","METHES ENERGIES INTERNATIONAL LTD","n/a","Basic Industries","Major Chemicals"
"MEILZ","METHES ENERGIES INTERNATIONAL LTD","n/a","Basic Industries","Major Chemicals"
"METR","Metro Bancorp, Inc","n/a","Finance","Major Banks"
"MCBI","MetroCorp Bancshares, Inc.","1998","Finance","Major Banks"
"MFRI","MFRI, Inc.","1989","Capital Goods","Pollution Control Equipment"
"MGCD","MGC Diagnostics Corporation","n/a","Health Care","Medical/Dental Instruments"
"MGEE","MGE Energy Inc.","n/a","Energy","Electric Utilities: Central"
"MGPI","MGP Ingredients, Inc.","n/a","Consumer Non-Durables","Packaged Foods"
"MCRL","Micrel, Incorporated","1994","Technology","Semiconductors"
"MCHP","Microchip Technology Incorporated","1993","Technology","Semiconductors"
"MFI","MicroFinancial Incorporated","1999","Finance","Diversified Financial Services"
"MU","Micron Technology, Inc.","n/a","Technology","Semiconductors"
"MICT","Micronet Enertec Technologies, Inc.","n/a","Capital Goods","Electrical Products"
"MICTW","Micronet Enertec Technologies, Inc.","n/a","Capital Goods","Electrical Products"
"MCRS","MICROS Systems, Inc.","1981","Technology","EDP Services"
"MSCC","Microsemi Corporation","n/a","Technology","Semiconductors"
"MSFT","Microsoft Corporation","1986","Technology","Computer Software: Prepackaged Software"
"MSTR","MicroStrategy Incorporated","1992","Technology","Computer Software: Prepackaged Software"
"MVIS","Microvision, Inc.","1993","Capital Goods","Industrial Machinery/Components"
"MPB","Mid Penn Bancorp","n/a","Finance","Major Banks"
"MCEP","Mid-Con Energy Partners, LP","n/a","Energy","Oil & Gas Production"
"MBRG","Middleburg Financial Corporation","n/a","Finance","Major Banks"
"MSEX","Middlesex Water Company","n/a","Public Utilities","Water Supply"
"MOFG","MidWestOne Financial Group, Inc.","n/a","Finance","Major Banks"
"MDXG","MiMedx Group, Inc","n/a","Health Care","Medical/Dental Instruments"
"MNDO","MIND C.T.I. Ltd.","n/a","Technology","EDP Services"
"MSPD","Mindspeed Technologies, Inc.","n/a","Technology","Semiconductors"
"MRTX","Mirati Therapeutics, Inc.","n/a","Health Care","Major Pharmaceuticals"
"MSON","MISONIX, Inc.","1992","Capital Goods","Medical Specialities"
"MIND","Mitcham Industries, Inc.","1994","Technology","Diversified Commercial Services"
"MITK","Mitek Systems, Inc.","n/a","Technology","Computer peripheral equipment"
"MITL","Mitel Networks Corporation","n/a","Technology","Radio And Television Broadcasting And Communications Equipment"
"MKSI","MKS Instruments, Inc.","1999","Capital Goods","Industrial Machinery/Components"
"MINI","Mobile Mini, Inc.","1994","Capital Goods","Metal Fabrications"
"MOCO","MOCON, Inc.","n/a","Capital Goods","Industrial Machinery/Components"
"MPAC","MOD-PAC CORP.","n/a","Consumer Durables","Containers/Packaging"
"MLNK","ModusLink Global Solutions, Inc","1999","Miscellaneous","Business Services"
"MOLX","Molex Incorporated","1972","Capital Goods","Electrical Products"
"MOLXA","Molex Incorporated","n/a","Capital Goods","Electrical Products"
"MNTA","Momenta Pharmaceuticals, Inc.","2004","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"MCRI","Monarch Casino & Resort, Inc.","1993","Consumer Services","Hotels/Resorts"
"MNRK","Monarch Financial Holdings, Inc.","n/a","Finance","Major Banks"
"MDLZ","Mondelez International, Inc.","n/a","Consumer Non-Durables","Packaged Foods"
"MGI","Moneygram International, Inc.","n/a","Miscellaneous","Business Services"
"MPWR","Monolithic Power Systems, Inc.","1998","Technology","Semiconductors"
"TYPE","Monotype Imaging Holdings Inc.","2007","Technology","EDP Services"
"MNRO","Monro Muffler Brake, Inc.","1991","Consumer Services","Automotive Aftermarket"
"MRCC","Monroe Capital Corporation","n/a","n/a","n/a"
"MNST","Monster Beverage Corporation","n/a","Consumer Non-Durables","Beverages (Production/Distribution)"
"MHGC","Morgans Hotel Group Co.","2006","n/a","n/a"
"MORN","Morningstar, Inc.","2005","Finance","Investment Managers"
"MOSY","MoSys, Inc.","2001","Technology","Semiconductors"
"MPAA","Motorcar Parts of America, Inc.","n/a","Capital Goods","Auto Parts:O.E.M."
"MOVE","Move, Inc.","n/a","Finance","Real Estate"
"MSBF","MSB Financial Corp.","n/a","Finance","Savings Institutions"
"MNTG","MTR Gaming Group, Inc.","n/a","Consumer Services","Hotels/Resorts"
"MTSC","MTS Systems Corporation","n/a","Capital Goods","Industrial Machinery/Components"
"MBND","Multiband Corporation","n/a","Public Utilities","Telecommunications Equipment"
"LABL","Multi-Color Corporation","1987","Miscellaneous","Publishing"
"MFLX","Multi-Fineline Electronix, Inc.","2004","Technology","Electrical Products"
"MGAM","Multimedia Games Holding Company, Inc.","n/a","Consumer Services","Services-Misc. Amusement & Recreation"
"MFSF","MutualFirst Financial Inc.","n/a","Finance","Major Banks"
"MWIV","MWI Veterinary Supply, Inc.","2005","Health Care","Medical Specialities"
"MYL","Mylan Inc.","n/a","Health Care","Major Pharmaceuticals"
"MYRG","MYR Group, Inc.","n/a","Basic Industries","Water Supply"
"MYGN","Myriad Genetics, Inc.","1995","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"NANO","Nanometrics Incorporated","1984","Capital Goods","Industrial Machinery/Components"
"NSPH","Nanosphere, Inc.","2007","Health Care","Medical/Dental Instruments"
"NSTG","NanoString Technologies, Inc.","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"NSSC","NAPCO Security Technologies, Inc.","n/a","Consumer Durables","Telecommunications Equipment"
"NASB","NASB Financial Inc.","n/a","Finance","Savings Institutions"
"QQQX","NASDAQ Premium Income and Growth Fund Inc.","2007","n/a","n/a"
"NAFC","Nash-Finch Company","n/a","Consumer Non-Durables","Food Distributors"
"NATH","Nathan&#39;s Famous, Inc.","1993","Consumer Services","Restaurants"
"NAUH","National American University Holdings, Inc.","n/a","Consumer Services","Other Consumer Services"
"NKSH","National Bankshares, Inc.","n/a","Finance","Major Banks"
"FIZZ","National Beverage Corp.","n/a","Consumer Non-Durables","Beverages (Production/Distribution)"
"NCMI","National CineMedia, Inc.","2007","Consumer Services","Advertising"
"NATI","National Instruments Corporation","1995","Technology","Computer Software: Prepackaged Software"
"NATL","National Interstate Corporation","2005","Finance","Property-Casualty Insurers"
"NPBC","National Penn Bancshares, Inc.","n/a","Finance","Major Banks"
"NRCIA","National Research Corporation","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"NRCIB","National Research Corporation","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"NSEC","National Security Group, Inc.","n/a","Finance","Life Insurance"
"NTSC","National Technical Systems, Inc.","n/a","Health Care","Precision Instruments"
"NWLI","National Western Life Insurance Company","n/a","Finance","Life Insurance"
"NAII","Natural Alternatives International, Inc.","n/a","Consumer Durables","Specialty Chemicals"
"NATR","Nature&#39;s Sunshine Products, Inc.","n/a","Health Care","Major Pharmaceuticals"
"BABY","Natus Medical Incorporated","2001","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"NVSL","Naugatuck Valley Financial Corporation","n/a","Finance","Savings Institutions"
"NAVR","Navarre Corporation","1993","Technology","Retail: Computer Software & Peripheral Equipment"
"NBTF","NB&T FINANCIAL GROUP INC","n/a","Finance","Commercial Banks"
"NBTB","NBT Bancorp Inc.","n/a","Finance","Major Banks"
"NCIT","NCI, Inc.","2005","Technology","EDP Services"
"NKTR","Nektar Therapeutics","n/a","Health Care","Major Pharmaceuticals"
"NEOG","Neogen Corporation","1989","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"NEO","NeoGenomics, Inc.","n/a","Health Care","Precision Instruments"
"NEON","Neonode Inc.","1997","Capital Goods","Industrial Machinery/Components"
"NBS","Neostem, Inc.","n/a","Health Care","Hospital/Nursing Management"
"NEPT","Neptune Technologies & Bioresources Inc","n/a","Health Care","Major Pharmaceuticals"
"UEPS","Net 1 UEPS Technologies, Inc.","2005","Finance","Investment Bankers/Brokers/Service"
"NETE","Net Element International, Inc.","n/a","Technology","EDP Services"
"NETC","NET Servicos de Comunicacao S.A.","1994","Consumer Services","Television Services"
"NTAP","NetApp, Inc.","1995","Technology","Electronic Components"
"NTES","NetEase, Inc.","n/a","Miscellaneous","Business Services"
"NFLX","Netflix, Inc.","2002","Consumer Services","Consumer Electronics/Video Chains"
